id,id_dup,type,lan,title,title_dup,content,content_dup,cos_similarity,content_distance,title_distance,certainty
487,670,1,1,Un cuvant pe-acest pamant,Un cuvant pe-acest pamant...,un cuvant pe acest pamant curat frumos si sfant iubit si pretuit si indragit de la abel pana azi tot,un cuvant pe acest pamant curat frumos si sfant iubit si pretuit si indragit de la abel pana azi tot,1,1,0.943396226,validated
504,154974,1,1,Un cantec de lauda in inima mea ...,Un cantec de lauda in inima mea,un cantec de lauda in inima mea un cantec ce tu ai pus mi ai dat libertate ca sa pot canta din nou a,un cantec de lauda in inima mea un cantec ce tu ai pus mi ai dat libertate ca sa pot canta din nou a,1,1,0.939393939,validated
513,514,1,1,DOAR IN CRISTOS,DOAR IN CRISTOS ma-ncred mereu,doar in hristos ma ncred mereu doar in hristos sfant si divin lumina si taria mea in chip de om el i,doar in hristos ma ncred mereu lumina si taria mea stanca tare dumnezeu cand furtuna viata mea de ar,1,0.59,0.666666667,validated
527,131407,1,1,Ce bucurie cÄ‚Ë˜nd ni se zice,Ce bucurie cand ni se zice,ce bucurie cand ni se zice veniti cu toti la casa domnului in dragoste si in partasie sa inaltam cu ,ce bucurie cand ni se zice veniti cu toti la casa domnului in dragoste si in partasie sa inaltam cu ,1,1,0.909090909,validated
580,690,1,1,Aleluia (solo),Aleluia ! Tu esti Sfant !,aleluia aleluia domnul nostru domneste in veci aleluia tu esti sfant esti sfant em domnul nostru din,aleluia aleluia domnul nostru domneste in veci aleluia tu esti sfant esti sfant em domnul nostru din,1,1,0.461538462,validated
584,689,1,1,Zi de zi (Gama Mi bemol),Zi de zi eu vreau,gm zi de zi eu vreau sa respir cuvantul tau si ma rog doamne gm tot mai mult sa te cunosc gm condu m,gm zi de zi eu vreau sa respir cuvantul tau si ma rog doamne gm tot mai mult sa te cunosc gm condu m,1,1,0.487804878,validated
688,72591,1,1,Toti avem nevoie,Mighty to save (romana),toti avem nevoie de dragoste curata prin mila ta de sus totii vrem iertarea si bunatatea ti mare spe,preludiu c c toti avem nevoie de dragoste curata prin mila ta de sus c totii vrem iertarea si bunata,1,0.85,0.358974359,validated
64343,102759,1,1,El s-a nascut,Iata cum veni la noi Domnul Isus,am iata cum veni la noi domnul isus pruncul sfant venit de sus am cum fiul lui dumnezeu coborat ca s,am iata cum veni la noi domnul isus pruncul sfant venit de sus am cum fiul lui dumnezeu coborat ca s,1,1,0.266666667,validated
65304,64212,1,1,Cu gandul la viata eterna,In tara eterna,cu gandul la viata eterna cu drag eu ades meditez singurul lucru in viata pe care doresc sa pastrez ,cu gandul la viata eterna cu drag eu ades meditez singurul lucru in viata pe care doresc sa pastrez ,1,1,0.512820513,validated
66899,165393,1,1,Te laud,Te laud,cand nici nu existam si nici aveam suflare din cer inca de atuncea ma vegheai cand nici chip nu avea,cand nici nu existam si nici aveam suflare din cer inca de atuncea ma vegheai cand nici chip nu avea,1,1,1,validated
86782,86783,1,1,Exista un timp,Exista un timp,em em exista un timp pentru toate si orice lucru si are vremea lui exista sfanta dreptate si mana ca,em em exista un timp pentru toate si orice lucru si are vremea lui exista sfanta dreptate si mana ca,1,1,1,validated
87965,102521,1,1,In lumea noastrÃ„Âƒ a venit,In lumea noastrÃ„Âƒ a venit Un Mantuito,intrare cuplet in lumea noastra venit un mantuitor un mantuitor un rascumparator el nascut pe acest ,intrare cuplet in lumea noastra venit un mantuitor un mantuitor un rascumparator el nascut pe acest ,1,1,0.818181818,validated
93036,97494,1,1,Simt iubirea Ta,Simt iubirea Ta(CORECT),de cand sunt cu tin am tot ce mi doresc iubire curata alerg printre spini la cruce sa vin sa ti dau ,de cand sunt cu tin am tot ce mi doresc iubire curata alerg printre spini la cruce sa vin sa ti dau ,1,1,0.789473684,validated
103833,117359,1,1,Daca treci prin incercare,Daca treci prin incercare,capodastru daca treci prin incercare si ai nici un ajutor si ai nici un ajutor nu uita ca cer mesia ,capodastru daca treci prin incercare si ai nici un ajutor si ai nici un ajutor nu uita ca cer mesia ,1,1,1,validated
111809,124529,1,1,Cel ce legi rani care dor - Puiu Chibici,Cel ce legi rani care dor,cel ce legi rani care dor si tamaduiesti ce necaz vi ajutor am si ne izbavesti cel ce poti si stii v,cel ce legi rani care dor si tamaduiesti ce necaz vi ajutor si ne izbavesti cel ce poti si stii vind,1,0.97,0.769230769,validated
113319,141978,1,1,Jertfa Ta gama Mi major,Jertfa Ta ( E Major) - Varianta corecta.,ne sfatuiesti si ne inveti doamne fiindca ne iubesti sa mplinim cuvantul tau de el sa nu ne ndeparta,ne sfatuiesti si ne inveti doamne fiindca ne iubesti sa mplinim cuvantul tau de el sa nu ne ndeparta,1,1,0.507936508,validated
114672,114785,1,1,fii si fiice,fii si fiice de Dumnezeu,fii si fiice intro am x dac am putea muta muntii am dac am ajunge la stele tu ne ai iubi la fel dac ,fii si fiice intro am x dac am putea muta muntii am dac am ajunge la stele tu ne ai iubi la fel dac ,1,1,0.666666667,validated
126843,131410,1,1,VeniÄ¹Åi sÃ„Âƒ Ä‚Å½i mulÄ¹Åumim!,VeniÄ¹Åi sÃ„Âƒ Ä‚Å½i mulÄ¹Åumim!,veniti sa ii multumim veniti sa il preamarim pe cel atotputernic dumnezeu minunat cand sunt slab el ,veniti sa ii multumim veniti sa il preamarim pe cel atotputernic dumnezeu minunat cand sunt slab el ,1,1,1,validated
128057,128058,1,1,Deschide-ÄŒÂ›i ochii,Deschide-ÄŒÂ›i ochii,si crezi ca nu te aud crezi ca nu te vad vreau sa ti spun acum ca nu nu te am uitat langa tine am st,si crezi ca nu te aud crezi ca nu te vad vreau sa ti spun acum ca nu nu te am uitat langa tine am st,1,1,1,validated
130763,93036,1,1,Simt iubirea Ta,Simt iubirea Ta,de cand sunt cu tin am tot ce mi doresc iubire curata alerg printre spini la cruce sa vin sa ti dau ,de cand sunt cu tin am tot ce mi doresc iubire curata alerg printre spini la cruce sa vin sa ti dau ,1,1,1,validated
134993,134994,1,1,Nu va-n grijorat de viata voastra,Nu vÃ„Âƒ-ngrijoraÄ¹Åi de viaÄ¹Åa voastrÃ„Âƒ,nu va ngrijorati de viata voastra caci de grija domnul va purta el de toate lume se ngrijeste cereti,nu va ngrijorati de viata voastra caci de grija domnul va purta el de toate lume se ngrijeste cereti,1,1,0.717948718,validated
154325,162351,1,1,Cred in Salvatorul,Cred in Salvatorul,tu mijlocesti isuse pentru mine cu sange sfant ai sters pacatul meu dragostea ta cucerit ridicat man,tu mijlocesti isuse pentru mine cu sange sfant ai sters pacatul meu am dragostea ta cucerit ridicat ,1,0.97,1,validated
155238,168926,1,1,Cine-i oare meÄŒÂ™ter mare,Cinei oare mester mare,dm gm cine oare mester mare bb in intregul univers dm gm care sa ma modeleze bb dandu mi chipul sau ,dm gm cine oare mester mare bb in intregul univers dm gm care sa ma modeleze bb dandu mi chipul sau ,1,1,0.875,validated
174302,174303,1,1,Doamne nu ma tem,Doamne nu ma tem,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,1,1,1,validated
174304,174302,1,1,Doamne nu ma tem,Doamne nu ma tem,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,1,1,1,validated
174305,174302,1,1,Doamne nu ma tem,Doamne nu ma tem,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,1,1,1,validated
174306,174302,1,1,Doamne nu ma tem,Doamne nu ma tem,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,1,1,1,validated
174307,174302,1,1,Doamne nu ma tem,Doamne nu ma tem,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,doamne nu ma tem esti cu mine eu in tine ma incred prin valea plangerii cand pasesc si daca vin furt,1,1,1,validated
370,108008,1,1,Doamne da-ne rusalii,Doamne mai vreau Rusalii,doamne mai vreau rusalii em cu limbi de foc sa le imprastii pe fiecare sa ne atingi cu duhul tau doa,doamne mai vreau rusalii em cu limbi de foc sa le imprastii pe fiecare sa ne atingi cu duhul tau doa,1,1,0.727272727,validated
62744,74965,1,1,Inima mea vrea sÃ„Âƒ-Ä¹Ë˜i cÄ‚Ë˜nte,Inima mea vrea sÃ„Âƒ-Ä¹Ë˜i cÄ‚Ë˜nte,inima mea vrea sa ti cante vrea sa te inalte in fiecare zi tu mi ai adus bucurie si atata plinatate ,inima mea vrea sa ti cante vrea sa te inalte in fiecare zi tu mi ai adus bucurie si atata plinatate ,1,1,1,validated
63597,63598,1,1,Suntem o familie unita (varianta 1),Suntem o familie unita (varianta 2),ce minunat sa fi intr familie familia sfanta domnului isus sutem familie unita suntem familie reala ,ce minunat sa fi intr familie familia sfanta domnului isus sutem familie unita suntem familie reala ,1,1,0.971428571,validated
127788,127789,1,1,Cand pe cerul vietii tale,Cand pe cerul vietii tale,cand pe cerul vietii tale nori negrii apar bm cand furtuna tot mai mare nu plange cu amar sa nu crez,cand pe cerul vietii tale nori negrii apar bm cand furtuna tot mai mare nu plange cu amar sa nu crez,1,1,1,validated
358,663,1,1,Toate Le-ai creat pe toate mana Ta le tine,Tu esti creatorul,tu esti creatorul universului intreg tu esti inceput si intregire tuturor em stelele si luna glasul ,tu esti creatorul universului intreg tu esti inceput si intregire tuturor stelele si luna glasul tau,0.999953902,0.97,0.372881356,validated
102800,150467,1,1,Tu nu pleci niciodata de la mine,Tu nu pleci niciodatÃ„Âƒ de la mine (Do Major),dm tu nu pleci niciodata de la mine dm si nici clipa singur nu ma lasi am tu esti mereu puterea ce m,tu nu pleci niciodata de la mine si nici clipa singur nu ma lasi tu esti mereu puterea ce ma tine am,0.999940192,0.91,0.794871795,validated
109245,109480,1,1,Cred in filele Scripturii / Puiu Chibici,Cred in filele scripturii,cred in filele scripturii cred al domnului cuvant cred in tatal cred in fiul cred deplin in duhul sf,cred in filele scripturii cred in filele scripturii cred al domnului cuvant cred in tatal cred in fi,0.999931685,0.74,0.738461538,validated
173077,174544,1,1,Ne-ai fost Doamne ajutor,"Ne-ai fost, Doamne, ajutor",am ne ai fost doamne ajutor tu intotdeauna am ne ai fost sprijin tuturor cand batea furtuna ne ai fo,ne ai fost doamne ajutor tu intotdeauna ne ai fost sprijin tuturor cand batea furtuna ne ai fost anc,0.999897483,0.94,0.96,validated
110893,110894,1,1,Voi binecuvanta pe Domnul / Inaltati pe Domnul impreuna cu mine,Voi binecuvanta pe Domnul / Inaltati pe Domnul impreuna cu mine,voi binecuvanta pe domnul in orice vreme lauda lui va fi totdeauna gura mea in ltati pe domnul impre,voi binecuvanta pe domnul in orice vreme em lauda lui va fi totdeauna gura mea in ltati pe domnul im,0.999842704,0.97,1,validated
125645,151157,1,1,Sunt veacuri multe de atunci,Sunt veacuri multe de atunci,sunt veacuri multe de atunci si ani si ani au dus de cand la cer inaltat mantuitorul nost isus dar v,sunt veacuri multe de atunci em si ani si ani au dus de cand la cer inaltat mantuitorul nost isus d ,0.99977326,0.97,1,validated
117468,358,1,1,Tu esti creatorul,Toate Le-ai creat pe toate mana Ta le tine,tu esti creatorul universului intreg tu esti inceput si intregire tuturor bm stelele si luna glasul ,tu esti creatorul universului intreg tu esti inceput si intregire tuturor em stelele si luna glasul ,0.999764585,0.99,0.406779661,validated
134821,174538,1,1,Cred,Am sÃ„Âƒ lupt,am em cred ce nu pot vedea simt puterea ta isus si in inima mea pacea patruns stiu ca eu mult greses,cred ce nu pot vedea simt puterea ta isus si in inima mea pacea patruns stiu ca eu mult gresesc vrea,0.999760444,0.94,0,validated
97550,122540,1,1,In zori de zi cand ai trecut,Ä‚ÂŽn zori de zi cÄ‚Ë˜nd ai trecut,in zori de zi cand ai trecut la margine de drum cazut eram si atunci cand eu nici nu gandeam spre mi,in zori de zi cand ai trecut la margine de drum cazut eram si atunci cand eu nici nu gandeam spre mi,0.999759406,1,0.838709677,validated
741,117164,1,1,"O stea pe cer, lumineaz-acum",O STEA PE CER,stea pe cer lumineaz acum si raza ei speranta bm intr un staul mic langa betleem bm azi nascut fiu d,cfc stea pe cer lumineaz acum am gfg si raza ei speranta em intr un staul mic langa betleem am g azi,0.999732241,0.85,0.195121951,validated
68924,71517,1,1,"O, Domnul meu",O Domnul meu,cand privesc spre zari si vad lumina cand privesc spre nori si ti vad iubirea cand privesc spre cer ,am cand privesc spre zari si vad lumina dm am cand privesc spre nori si ti vad iubirea cand privesc ,0.99972873,0.91,0.96,validated
645,63640,1,1,Un loc linistit si ascuns,Intr-un loc linistit si-ascuns (varianta 2),em em intr un loc linsitit si ascuns em in tacere esti prezent intr un loc tainic si tacut te astept,intr un loc linsitit si ascuns em in tacere esti prezent intr un loc tainic si tacut te astept am em,0.999707718,0.94,0.676470588,validated
731,57000,1,1,Dar ce voi spune,Dar ce voi spune,dar ce voi spune sibm as vrea sa numar clipele dar timpul trece graba bb bb minute ce au trecut le a,bb as vrea sa numar clipele dar timpul trece graba bb minute ce au trecut le am irosit bb am spus ca,0.999689743,0.77,1,validated
163464,164272,1,1,Iubirea sa ramana in voi,Iubirea sa ramana in voi,este zi de sarbatoare pentru voi nascut acelasi vis in amandoi veti rosti un legamant de dragoste ch,este zi de sarbatoare pentru voi em nascut acelasi vis in amandoi veti rosti un legamant de dragoste,0.99968149,0.97,1,validated
357,133614,1,1,Din adancul iernii grele,Ochii imi ridic si ma uit catre cer,bb din adincul iernii grele primavara aud bb de si timpul pare atit de lung g stiu ca soarele lucest,bb din adincul iernii grele primavara aud bb de si timpul pare atit de lung gm stiu ca soarele luces,0.999669971,0.99,0.237288136,validated
542,108333,1,1,Langa Tine vreau,Langa Tine vreau,bm langa tine vreau sa fiu aproape iar si pentru prietenia ta renunt la orice altceva bm esti iubire,langa tine vreau sa fiu aproape iar si pentru prietenia ta renunt la orice altceva esti iubirea mea ,0.999666908,0.94,1,validated
164324,166989,1,1,"Numai tu, Doamne, poÄ¹Åi viaÄ¹ÅÃ„Âƒ sÃ„Âƒ dai",CÄ‚Ë˜nt pentru Tine,numai tu doamne poti viata sa dai presara peste mine flori de rai bb sa rodeasca mine jertfa din gol,numai tu doamne poti viata sa dai presara peste mine flori de rai am sa rodeasca peste mine jertfa d,0.999582541,0.92,0.121212121,validated
498,578,1,1,Rege-al regilor,Rege-al Regilor (Gama Re),rege al regilor esti tu doamne pe vecie slava ta intrece orice slava domn al domnilor ai ramas din v,d rege al regilor esti tu doamne pe vecie slava ta intrece orice slava d domn al domnilor ai ramas d,0.999546287,0.96,0.7,validated
97143,110938,1,1,Vreau sufletul sa mi-l inalti,Ca un copil,ca un copil ma tin de bratul tau tu ma cunosti vezi pasii mei mereu cu bunatate mereu ma inconjori s,ca un copil ma tin de bratul tau tu ma cunosti vezi pasii mei mereu cu bunatate mereu ma inconjori s,0.999474903,1,0.2,validated
495,117315,1,1,Sunt un mesager,Sunt un mesager ratacitor - Lauda mea e pentru Imparatul,sunt un mesager ratacitor prin lume sunt un calator spre patria de sus mi am pus harfa mea in slujba,sunt un mesager ratacitor prin lume sunt un calator spre patria de sus mi am pus harfa mea in slujba,0.999454027,1,0.422535211,validated
165673,122540,1,1,Samariteanul (In zori de zi),Ä‚ÂŽn zori de zi cÄ‚Ë˜nd ai trecut,in zori de zi cand ai trecut la margine de drum cazut eram si atunci cand eu nici nu gandeam spre mi,in zori de zi cand ai trecut la margine de drum cazut eram si atunci cand eu nici nu gandeam spre mi,0.999429736,1,0.387096774,validated
102566,108960,1,1,Pe-oceanul infinit cu valuri,Pe-oceanul infinit / Ma incred in Tine Doamne,mi pe oceanul infinit de valuri la si grija cuprins plutesc spre casa obosit la si mi cu catargul zd,pe oceanul infinit de valuri grija cuprins plutesc spre casa obosit cu catargul zdrentuit lovit de v,0.999426703,0.82,0.602739726,validated
122497,124449,1,1,In veci slavit fie Domnul,In veci Slavit fie Domnul / Este o minune cum Tu m-ai iubit (G),in veci slavit fie domnul sa spunem cu totii amin isus numai tie ti aducem marire si glorii deplin c,in veci slavit fie domnul sa spunem cu totii amin isus numai tie ti aducem marire si glorii deplin c,0.999421144,1,0.545454545,validated
62157,137986,1,1,Te prind fiori (Tu nu stii),TE PRIND FIORI,te prind fiori te simti murdar te prins p catul la r scruce si tu nu stii copil fugar am fost lovit ,em te prind fiori te simti murdar te prins p catul la r scruce am em si tu nu stii copil fugar am fo,0.999419504,0.91,0.146341463,validated
94207,113427,1,1,Trece Isus pe-aici,De esti trudit si ti-e grea / Trece Isus pe-aici,de esti trudit si ti grea povara bm nu vrei chiar astazi sa te ridici iata clipa hotaratoare bm trec,em am de esti trudit si ti grea povara am nu vrei chiar astazi sa te ridici em am iata clipa hotarat,0.999380286,0.87,0.545454545,validated
165675,167656,1,1,"Tu, cel mai mare","Tu, Cel mai mare",sunt momente cand inima plange si sunt clipe cand ma simt invins cand piciorul meu merge inainte spr,am sunt momente cand inima plange dm si sunt clipe cand ma simt invins am cand piciorul meu merge in,0.999331515,0.91,0.9375,validated
116950,163065,1,1,Tu ma cercetezi de-aproape,Tu mÃ„Âƒ cercetezi de-aproape,tu ma cercetezi de aproape doamne tu ma ocrotesti de departe mi patrunzi gandul caile mi cunosti und,tu ma cercetezi de aproape doamne tu ma ocrotesti de departe mi patrunzi gandul caile mi cunosti und,0.999019299,1,0.909090909,validated
479,160748,1,1,Cand oceanele cumplit vuiesc,CÄ‚Ë˜nd oceanele cumplit vuiesc,tine ma in mana ta sa ascunzi intinde ti aripa cand oceanele cumplit vuiesc doamne da mi puteri sa b,em am dm tine ma in mana ta em am sa ascunzi intinde ti aripa cand oceanele cumplit vuiesc am doamne,0.998833175,0.82,0.915254237,validated
64210,108137,1,1,Sunt aici la dispozitia Ta,Sunt aici la dispozitia Ta,am stiu ca tu nu vrei nici jertfe si nici daruri stiu ca tu privesti doar la inima mea em si ca vrei,am stiu ca tu nu vrei nici jertfe si nici daruri stiu ca tu privesti doar la inima mea em si ca vrei,0.998829266,1,1,validated
133055,147932,1,1,O intrebare in ceruri s-a pus,O Ä‚Å½ntrebare Ä‚Å½n Ceruri s-a pus,intro intrebare in ceruri pus la care tatal asteapta raspuns jumatate de ceas trecut atunci in fata ,intro am dm am intrebare in ceruri pus la care tatal asteapta raspuns jumatate de ceas trecut esus a,0.998818437,0.86,0.8125,validated
129449,158789,1,1,"Doamne vin, si-ngenunchez (Eu de Tine am nevoie)",Eu de Tine am nevoie,am fadd doamne vin si ngenunchez tie iti marturisesc am fadd fara tine as cadea doar tu esti odihna ,doamne vin si ngenunchez em tie iti marturisesc fara tine as cadea em doar tu esti odihna mea eu de ,0.998778412,0.84,0.588235294,validated
78900,154990,1,1,O carte cu sapte peceti ( f# ),O carte cu Ä¹ÂŸapte peceÄ¹Åi,carte cu sapte peceti carte sta inchisa in mana dumnezeului viu in mana sa intinsa si un inger puter,am carte cu sapte peceti am carte sta inchisa am in mana dumnezeului viu am in mana sa intinsa am si,0.998762882,0.85,0.711864407,validated
90070,111966,1,1,DupÃ„Âƒ ploaie Ä¹ÂŸi furtunÃ„Âƒ,Dupa ploaie si furtuna !,dupa ploaie si furtuna bb va veni zi mai buna dm soarele va straluci mai luminos dupa norul plin de ,dupa ploaie si furtuna va veni zi mai buna am soarele va straluci mai luminos dupa norul plin de cea,0.998658929,0.96,0.690909091,validated
113668,163762,1,1,Eu cred in vindecarile divine - In numele lui esti vindecat,Eu cred Ä‚Å½n vindecÃ„Âƒrile divine,dm eu cred in vindecarile divine caci el ma vindecase si pe mine dm caci el doctorul cel bun si mare,em eu cred in vindecarile divine am em caci el ma vindecase si pe mine em caci el doctorul cel bun s,0.998587187,0.92,0.574468085,validated
90733,130598,1,1,sangele lui m-a curatit,Sangele Tau m-a curatit,sangele tau curatit sangele tau mantuit sangele tau viata mi dat ai murit ca eu sa fiu iertat imi ri,sangele tau curatit sangele tau mantuit sangele tau viata mi dat ai murit ca eu sa fiu iertat bm imi,0.998584389,0.97,0.869565217,validated
97034,118895,1,1,Ogoarele sunt gata de recoltÃ„Âƒ,Ogoarele sunt gata de recolta,am dm ogoarele sunt gata de recolta bb iar lucratorii sunt asa putini am dm ma daruiesc doamne intre,ogoarele sunt gata de recolta iar lucratorii sunt asa putini ma daruiesc doamne intregime ca sa cule,0.998560968,0.85,0.918032787,validated
4,320,1,1,Curgi ca un rÄ‚Ë˜u de slavÃ„Âƒ,CURGI CA UN RÄ‚Â‚U,curgi ca un rau de slava cu bratul tau dezleaga tu cu putere viata mea in ceasul de pe urma vreau du,curgi ca un rau de slava bm cu bratul tau desleaga tu cu putere viata mea in ceasul de pe urma bm vr,0.998540816,0.93,0.291666667,validated
176207,176208,1,1,Vreau sa te cunosc mai mult,Vreau sa Te cunosc mai mult,vreau sa te cunosc mai mult sa te onorez cu tot ce sunt vreau sa fac doar voia ta sa fac doar voia t,vreau sa te cunosc mai mult sa te onorez cu tot ce sunt vreau sa fac doar voia ta sa fac doar voia t,0.998457259,1,0.962962963,validated
256,580,1,1,Aleluia,Aleluia (solo),aleluia aleluia domnul nostru domneste in veci tu esti sfant esti sfant domnul nostru din ceruri vre,aleluia aleluia domnul nostru domneste in veci aleluia tu esti sfant esti sfant em domnul nostru din,0.998400485,0.89,0.666666667,validated
125552,131431,1,1,Nu te pierde-n deznadejde,Nu te pierde,dm nu te pierde deznadejde gm cand te ncearca vreo urgie dm domnul va preface tine gm intristarea bu,em nu te pierde deznadejde am cand te ncearca vreo urgie em domnul va preface tine am intristarea bu,0.998192546,0.96,0.648648649,validated
91895,580,1,1,"Aleluia, Aleluia - Agnus Dei",Aleluia (solo),aleluia aleluia domnul nostru domneste in veci aleluia tu esti sfant esti sfant domnul nostru din ce,aleluia aleluia domnul nostru domneste in veci aleluia tu esti sfant esti sfant em domnul nostru din,0.998074305,0.97,0.428571429,validated
280,159265,1,1,Destinul tau e sa invingi,Destinul tÃ„Âƒu e sÃ„Âƒ Ä‚Å½nvingi,destinul tau sa invingi cand esti cazut sa te ridici destinul tau scris candva isus numele tau de mu,em destinul tau sa invingi bm cand esti cazut sa te ridici em destinul tau scris candva isus em nume,0.998072926,0.88,0.745762712,validated
127711,127712,1,1,Te-am ales,Te-am ales,dm te am ales nu pentru zi gm te am ales al meu sa fii cat voi trai te am ales iubitul meu gm si de ,dm te am ales nu pentru zi gm te am ales al meu sa fii cat voi trai te am ales iubitul meu gm si de ,0.997972019,1,1,validated
56060,163062,1,1,Pot sa scriu si sa vorbesc de Tine,Pot sa scriu si sa vorbesc de Tine,em pot sa scriu si sa vorbesc de tine am despre tot ce tu ai spus si ai facu em cum cu paini si pest,em pot sa scriu si sa vorbesc de tine am despre tot ce tu ai spus si ai facut em cum cu paini si pes,0.997853985,0.99,1,validated
